sheet,field_key,description,data_type,requirement,canonical_unit,scope,allowed_values_or_rule,example,migration_note
01_VEHICLE_MODELS,model_id,Immutable Expiya model-family ID.,ID,MUST,,MODEL,,MOD-000001,Generated; preserve legacy trace separately.
01_VEHICLE_MODELS,brand,Manufacturer / brand display name.,TEXT,MUST,,MODEL,,Suzuki,Map from v0.3 Marka.
01_VEHICLE_MODELS,model_name,Commercial model-family name.,TEXT,MUST,,MODEL,,Vitara,Map from v0.3 Model.
01_VEHICLE_MODELS,body_family,Canonical body family.,ENUM,MUST,,MODEL,BODY_FAMILY,SUV,v0.3 Kasa Tipi is candidate.
01_VEHICLE_MODELS,market_relevance_tr,Turkey relevance gate.,ENUM,MUST,,MODEL,MARKET_RELEVANCE_TR,CURRENT,Resolve during pilot.
01_VEHICLE_MODELS,source_catalog_status,Legacy discovery provenance class.,ENUM,MUST,,MODEL,SOURCE_CATALOG_STATUS,RESMI_KAYNAKTAN_DERLENDI,Not fact-level authority.
01_VEHICLE_MODELS,legacy_source_id,Reference to v0.3 record identity.,TEXT,SHOULD,,MODEL,,legacy-row-12,
01_VEHICLE_MODELS,notes,"Free-text notes, never authoritative evidence.",TEXT,NICE_TO_HAVE,,MODEL,,,
02_GENERATIONS,generation_id,Immutable generation ID.,ID,MUST,,GENERATION,,GEN-000001,
02_GENERATIONS,model_id,FK to model.,FK,MUST,,GENERATION,,MOD-000001,
02_GENERATIONS,generation_name,Human-readable generation label.,TEXT,SHOULD,,GENERATION,,4th Gen,Do not invent.
02_GENERATIONS,generation_code,Manufacturer/platform code.,TEXT,NICE_TO_HAVE,,GENERATION,,LY,
02_GENERATIONS,facelift_status,Generation phase.,ENUM,SHOULD,,GENERATION,FACELIFT_STATUS,FACELIFT,
02_GENERATIONS,production_start_year,Global production start year.,INTEGER,SHOULD,,GENERATION,,2024,Legacy year is candidate.
02_GENERATIONS,production_end_year,Global production end year.,INTEGER,SHOULD,,GENERATION,,,
02_GENERATIONS,market_start_year_tr,Turkey market start year.,INTEGER,SHOULD,,GENERATION,,2025,
02_GENERATIONS,market_end_year_tr,Turkey market end year.,INTEGER,SHOULD,,GENERATION,,,
02_GENERATIONS,identity_status,Identity resolution state.,ENUM,MUST,,GENERATION,IDENTITY_STATUS,VERIFIED,
02_GENERATIONS,legacy_source_id,Legacy traceability.,TEXT,SHOULD,,GENERATION,,,
02_GENERATIONS,notes,Generation notes.,TEXT,NICE_TO_HAVE,,GENERATION,,,
03_POWERTRAINS,powertrain_id,Immutable powertrain variant ID.,ID,MUST,,POWERTRAIN,,PWR-000001,
03_POWERTRAINS,generation_id,FK to generation.,FK,MUST,,POWERTRAIN,,GEN-000001,
03_POWERTRAINS,marketing_name,Official/marketed powertrain name.,TEXT,SHOULD,,POWERTRAIN,,1.4 Boosterjet Hybrid,
03_POWERTRAINS,fuel_type,Primary fuel/energy type.,ENUM,MUST,,POWERTRAIN,FUEL_TYPE,PETROL,
03_POWERTRAINS,electrification_type,Electrification architecture.,ENUM,MUST,,POWERTRAIN,ELECTRIFICATION_TYPE,MHEV,
03_POWERTRAINS,engine_displacement_cc,ICE displacement.,INTEGER,SHOULD,cc,POWERTRAIN,,1373,
03_POWERTRAINS,power_kw,Canonical power.,NUMBER,MUST,kW,POWERTRAIN,,95,Source-backed before VERIFIED.
03_POWERTRAINS,power_ps,Reference/display metric power.,NUMBER,SHOULD,PS,POWERTRAIN,,129,
03_POWERTRAINS,torque_nm,Peak torque.,NUMBER,SHOULD,Nm,POWERTRAIN,,235,
03_POWERTRAINS,transmission_type,Transmission architecture.,ENUM,MUST,,POWERTRAIN,TRANSMISSION_TYPE,AUTOMATIC,
03_POWERTRAINS,transmission_gears,Forward gear count.,INTEGER,SHOULD,,POWERTRAIN,,6,
03_POWERTRAINS,drivetrain,Driven axle/system.,ENUM,MUST,,POWERTRAIN,DRIVETRAIN,AWD,
03_POWERTRAINS,battery_usable_kwh,Usable traction battery capacity.,NUMBER,MUST,kWh,POWERTRAIN,,,MUST for BEV when published.
03_POWERTRAINS,identity_status,Identity resolution state.,ENUM,MUST,,POWERTRAIN,IDENTITY_STATUS,VERIFIED,
03_POWERTRAINS,legacy_motor_text,Raw v0.3 Motor text.,TEXT,SHOULD,,POWERTRAIN,,1.4 Hybrid 129 PS,Parsing input only.
