assertion_id,evidence_type,evidence_id,source_id,source_location,extraction_method,verification_status,applicability_status,verified_at,verified_by,notes
AST-000001,TECHNICAL_FACT,FAC-000001,SRC-000025,bagaj kapasitesi / minimum bagaj hacmi,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,Official Dacia source gives both 328 dm3 VDA and 410 L.
AST-000002,TECHNICAL_FACT,FAC-000002,SRC-000011,technical data table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000003,TECHNICAL_FACT,FAC-000003,SRC-000011,technical data table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000004,TECHNICAL_FACT,FAC-000004,SRC-000011,technical data table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000005,TECHNICAL_FACT,FAC-000005,SRC-000011,technical data table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000006,TECHNICAL_FACT,FAC-000006,SRC-000011,technical data table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000007,TECHNICAL_FACT,FAC-000007,SRC-000011,technical data table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000008,TECHNICAL_FACT,FAC-000008,SRC-000011,technical data table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000009,TECHNICAL_FACT,FAC-000009,SRC-000011,technical data table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000010,TECHNICAL_FACT,FAC-000010,SRC-000011,technical data table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000011,TECHNICAL_FACT,FAC-000011,SRC-000011,technical data table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000012,TECHNICAL_FACT,FAC-000012,SRC-000011,fuel consumption section,MANUAL,CONFLICTING,EXACT,,ChatGPT/web research,Do not average.
AST-000013,TECHNICAL_FACT,FAC-000013,SRC-000012,engine/dimensions section,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000014,TECHNICAL_FACT,FAC-000014,SRC-000012,engine/dimensions section,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000015,TECHNICAL_FACT,FAC-000015,SRC-000012,engine/dimensions section,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000016,TECHNICAL_FACT,FAC-000016,SRC-000012,engine/dimensions section,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
