generation_id,model_id,generation_name,generation_code,facelift_status,production_start_year,production_end_year,market_start_year_tr,market_end_year_tr,identity_status,legacy_source_id,notes
GEN-000001,MOD-000001,2026 New Clio,,UNKNOWN,,,2026,,PROVISIONAL,PILOT-01,Exact generation code/name to be verified from official documentation.
GEN-000002,MOD-000002,Current Egea Sedan,,UNKNOWN,,,,,PROVISIONAL,PILOT-02,Generation boundaries to be resolved during identity pass.
GEN-000003,MOD-000003,Current Corolla Sedan,,UNKNOWN,,,,,PROVISIONAL,PILOT-03,Generation/facelift boundary to be resolved from Toyota documentation.
GEN-000004,MOD-000004,Current Vitara,,UNKNOWN,,,,,PROVISIONAL,PILOT-04,Generation/facelift identity to be verified.
GEN-000005,MOD-000005,Current SEAL U DM-i,,UNKNOWN,,,,,PROVISIONAL,PILOT-05,Generation identity provisional; market configuration is source-backed.
GEN-000006,MOD-000006,Current EV3,,UNKNOWN,,,2026,,PROVISIONAL,PILOT-06,Generation identity provisional.
GEN-000007,MOD-000007,Current T10X,,UNKNOWN,,,,,PROVISIONAL,PILOT-07,Generation identity provisional.
GEN-000008,MOD-000008,2026 New Sandero Stepway,,UNKNOWN,,,2026,,PROVISIONAL,PILOT-08,Generation code to be verified; MY2026 sales presence is source-backed.
GEN-000009,MOD-000009,Current i20 facelift,,FACELIFT,,,2025,,VERIFIED,SCALE_BATCH_01,Current Turkey-market generation identity observed from official model/configuration material.
GEN-000010,MOD-000010,11th generation Civic,,UNKNOWN,,,2025,,VERIFIED,SCALE_BATCH_01,Current Turkey-market generation identity observed from official model/configuration material.
GEN-000011,MOD-000011,J12 facelift,,FACELIFT,,,2025,,VERIFIED,SCALE_BATCH_01,Current Turkey-market generation identity observed from official model/configuration material.
GEN-000012,MOD-000012,Octavia IV facelift,,FACELIFT,,,2025,,VERIFIED,SCALE_BATCH_01,Current Turkey-market generation identity observed from official model/configuration material.
GEN-000013,MOD-000013,Current Jogger,,UNKNOWN,,,2025,,PROVISIONAL,SCALE_BATCH_01,"POST_BATCH01_HARDENING closure attempted with SRC-000030/041. Current Yeni Jogger is shown, but exact 2026 model-year identity for Extreme Eco-G 120 auto was not deterministically established; remains PROVISIONAL."
GEN-000014,MOD-000014,Austral facelift 2025,,FACELIFT,,,2025,,VERIFIED,SCALE_BATCH_01,Current Turkey-market generation identity observed from official model/configuration material.
GEN-000015,MOD-000015,Second generation C-HR,,UNKNOWN,,,2025,,VERIFIED,SCALE_BATCH_01,Current Turkey-market generation identity observed from official model/configuration material.
GEN-000016,MOD-000016,Fourth generation Jazz facelift,,FACELIFT,,,2025,,VERIFIED,SCALE_BATCH_01,Current Turkey-market generation identity observed from official model/configuration material.
GEN-000017,MOD-000017,Third generation Crosstrek,,UNKNOWN,,,2025,,VERIFIED,SCALE_BATCH_01,Current Turkey-market generation identity observed from official model/configuration material.
GEN-000018,MOD-000018,Formentor facelift,,FACELIFT,,,2025,,VERIFIED,SCALE_BATCH_01,Current Turkey-market generation identity observed from official model/configuration material.
GEN-000019,MOD-000019,Second generation HS,,UNKNOWN,,,2025,,VERIFIED,SCALE_BATCH_01,Current Turkey-market generation identity observed from official model/configuration material.
GEN-000020,MOD-000020,First generation Elroq,,UNKNOWN,,,2025,,VERIFIED,SCALE_BATCH_01,Current Turkey-market generation identity observed from official model/configuration material.
GEN-000021,MOD-000021,Fourth generation Superb,,UNKNOWN,,,2025,,VERIFIED,SCALE_BATCH_01,Current Turkey-market generation identity observed from official model/configuration material.
GEN-000022,MOD-000022,Sixth generation Forester,,UNKNOWN,,,2025,,VERIFIED,SCALE_BATCH_01,POST_BATCH01_HARDENING: current sixth-generation Turkey model verified by official new-Forester technical material and MY2026 price list (SRC-000042/043).
GEN-000023,MOD-000023,Scala facelift,,FACELIFT,,,2025,,VERIFIED,SCALE_BATCH_01,"POST_BATCH01_HARDENING: current Scala facelift verified by official Turkey model, comparison and 2026 price-list pages (SRC-000038/040/044)."
GEN-000024,MOD-000024,Current Ranger,,UNKNOWN,,,,,PROVISIONAL,SCALE_BATCH_02,Official Turkey source SRC-000054; status follows exact generation applicability.
GEN-000025,MOD-000025,J250 2026 Mild Hybrid,,UNKNOWN,,,,,VERIFIED,SCALE_BATCH_02,Official Turkey source SRC-000053; status follows exact generation applicability.
GEN-000026,MOD-000026,Current Bayon,,UNKNOWN,,,,,VERIFIED,SCALE_BATCH_02,Official Turkey source SRC-000046; status follows exact generation applicability.
GEN-000027,MOD-000027,INSTER 2025,,UNKNOWN,,,,,VERIFIED,SCALE_BATCH_02,Official Turkey source SRC-000047; status follows exact generation applicability.
GEN-000028,MOD-000028,IONIQ 6 current,,UNKNOWN,,,,,VERIFIED,SCALE_BATCH_02,Official Turkey source SRC-000048; status follows exact generation applicability.
GEN-000029,MOD-000029,IONIQ 5 N current,,UNKNOWN,,,,,VERIFIED,SCALE_BATCH_02,Official Turkey source SRC-000049; status follows exact generation applicability.
GEN-000030,MOD-000030,IONIQ 9 2026,,UNKNOWN,,,,,VERIFIED,SCALE_BATCH_02,Official Turkey source SRC-000050; status follows exact generation applicability.
GEN-000031,MOD-000031,STARIA Hybrid current,,UNKNOWN,,,,,VERIFIED,SCALE_BATCH_02,Official Turkey source SRC-000051; status follows exact generation applicability.
GEN-000032,MOD-000032,SANTA FE 2026,,UNKNOWN,,,,,VERIFIED,SCALE_BATCH_02,Official Turkey source SRC-000052; status follows exact generation applicability.
GEN-000033,MOD-000033,Berlingo MY26,,UNKNOWN,,,,,VERIFIED,SCALE_BATCH_02,Official Turkey source SRC-000055; status follows exact generation applicability.
GEN-000034,MOD-000034,Berlingo Van MY26,,UNKNOWN,,,,,VERIFIED,SCALE_BATCH_02,Official Turkey source SRC-000056; status follows exact generation applicability.
GEN-000035,MOD-000035,SEALION 7 2026,,UNKNOWN,,,,,VERIFIED,SCALE_BATCH_02,Official Turkey source SRC-000057; status follows exact generation applicability.
GEN-000036,MOD-000036,U25 Electric,,UNKNOWN,,,,,VERIFIED,SCALE_BATCH_02,Official Turkey source SRC-000058; status follows exact generation applicability.
GEN-000037,MOD-000037,New 3008,,UNKNOWN,,,,,VERIFIED,SCALE_BATCH_02,Official Turkey source SRC-000059; status follows exact generation applicability.
GEN-000038,MOD-000038,Current Jimny,,UNKNOWN,,,,,PROVISIONAL,SCALE_BATCH_02,Official Turkey source SRC-000060; status follows exact generation applicability.
GEN-000039,MOD-000039,Polo current,,UNKNOWN,,,,,PROVISIONAL,SCALE_BATCH_03,Identity source SRC-000061.
GEN-000040,MOD-000040,Golf current,,UNKNOWN,,,,,PROVISIONAL,SCALE_BATCH_03,Identity source SRC-000062.
GEN-000041,MOD-000041,New T-Roc 2026,,UNKNOWN,,,,,VERIFIED,SCALE_BATCH_03,Identity source SRC-000063.
GEN-000042,MOD-000042,Corsa MY26,,UNKNOWN,,,,,VERIFIED,SCALE_BATCH_03,Identity source SRC-000064.
GEN-000043,MOD-000043,Captur current,,UNKNOWN,,,,,VERIFIED,SCALE_BATCH_03,Identity source SRC-000065.
GEN-000044,MOD-000044,New Duster current,,UNKNOWN,,,,,PROVISIONAL,SCALE_BATCH_03,Identity source SRC-000066.
GEN-000045,MOD-000045,New Logan 2026,,UNKNOWN,,,,,VERIFIED,SCALE_BATCH_03,Identity source SRC-000067.
GEN-000046,MOD-000046,Yaris Cross Mar 2026,,UNKNOWN,,,,,VERIFIED,SCALE_BATCH_03,Identity source SRC-000068.
GEN-000047,MOD-000047,X-Trail current,,UNKNOWN,,,,,PROVISIONAL,SCALE_BATCH_03,Identity source SRC-000069.
GEN-000048,MOD-000048,Sportage current,,UNKNOWN,,,,,PROVISIONAL,SCALE_BATCH_03,Identity source SRC-000070.
GEN-000049,MOD-000049,408 current,,UNKNOWN,,,,,PROVISIONAL,SCALE_BATCH_03,Identity source SRC-000071.
GEN-000050,MOD-000050,ë-C3 MY26,,UNKNOWN,,,,,VERIFIED,SCALE_BATCH_03,Identity source SRC-000072.
GEN-000051,MOD-000051,G20 LCI current,,UNKNOWN,,,,,VERIFIED,SCALE_BATCH_03,Identity source SRC-000073.
GEN-000052,MOD-000052,T03 current,,UNKNOWN,,,,,VERIFIED,SCALE_BATCH_03,Identity source SRC-000074.
GEN-000053,MOD-000053,Torres 2026,,UNKNOWN,,,,,VERIFIED,SCALE_BATCH_03,Identity source SRC-000075.
GEN-000054,MOD-000054,XC60 current,,UNKNOWN,,,,,VERIFIED,SCALE_BATCH_03,Identity source SRC-000076.
GEN-000055,MOD-000055,Tiggo 7 Pro current,,UNKNOWN,,,,,PROVISIONAL,SCALE_BATCH_03,Identity source SRC-000077.
