GAP,CURRENT COVERAGE,WHY IT MATTERS TO EXPIYA,PRIORITY
pickup,0,Work/fleet/towing and mixed-use decision path,HIGH
real 4x4,0,Separates genuine off-road capability from crossover styling,HIGH
large 7-seat SUV,Jogger only; provisional,Large-family and towing decisions,HIGH
passenger/commercial van,0,"Cargo, trades and high-seat-count use cases",HIGH
affordable urban BEV,EV3 only; SUV,Entry EV and city-footprint decisions,HIGH
long-range/family BEV,T10X/Elroq/EV3; narrow,"Range, 3-row and family practicality comparison",HIGH
performance EV / BEV AWD,0,Performance and traction-specific discovery,MEDIUM
diesel long-distance,Egea only,High-mileage and load-carrying use,MEDIUM
premium alternative,Formentor only,Discovery beyond obvious mainstream set,MEDIUM
PHEV AWD,0,Electrified towing/traction bridge,MEDIUM
