source_id,publisher,source_title,source_type,source_url,market,publication_date,retrieved_at,authority_class,source_status,notes,source_url_canonical,source_version_label,source_observed_at,source_content_hash,source_snapshot_ref
SRC-000001,Renault Türkiye,Yeni Renault Clio,OFFICIAL_WEB,https://www.renault.com.tr/hybrid-araclar/yeni-clio.html,TR,,46248,A1_OFFICIAL_MARKET,ACTIVE,Current product page; TCe 115 explicitly stated.,https://www.renault.com.tr/hybrid-araclar/yeni-clio.html,,46248,,
SRC-000002,Fiat Türkiye,Egea Dizel Ağustos 2026 Kampanyası,OFFICIAL_WEB,https://www.fiat.com.tr/kampanyalar/satis/boyle-firsat-olsa-olsa-egeada-olur,TR,,46248,A1_OFFICIAL_MARKET,ACTIVE,Confirms 2026 Egea Sedan 1.6 M.Jet 130 HP campaign.,https://www.fiat.com.tr/kampanyalar/satis/boyle-firsat-olsa-olsa-egeada-olur,,46248,,
SRC-000003,Toyota Türkiye,Toyota Corolla Sedan,OFFICIAL_WEB,https://www.toyota.com.tr/araba-modelleri/corolla-sedan,TR,,46248,A1_OFFICIAL_MARKET,ACTIVE,Current Corolla Hybrid official model page.,https://www.toyota.com.tr/araba-modelleri/corolla-sedan,,46248,,
SRC-000004,Suzuki Türkiye,Vitara Hibrit,OFFICIAL_WEB,https://www.suzuki.com.tr/tr/otomobil/vitara-hibrit.html,TR,,46248,A1_OFFICIAL_MARKET,ACTIVE,Current product page.,https://www.suzuki.com.tr/tr/otomobil/vitara-hibrit.html,,46248,,
SRC-000005,Suzuki Türkiye,Suzuki Otomobil Güncel Fiyat Listesi,OFFICIAL_PRICE_LIST,https://www.suzuki.com.tr/tr/otomobil/fiyat-listesi.html,TR,,46248,A1_OFFICIAL_MARKET,ACTIVE,2026 configurations including MHEV/AllGrip.,https://www.suzuki.com.tr/tr/otomobil/fiyat-listesi.html,,46248,,
SRC-000006,BYD Türkiye,BYD SEAL U DM-i,OFFICIAL_TECH_SPEC,https://www.bydauto.com.tr/sealu-dmi,TR,,46248,A1_OFFICIAL_MARKET,ACTIVE,Structured technical values on official product page.,https://www.bydauto.com.tr/sealu-dmi,,46248,,
SRC-000007,Kia Türkiye,2026 Model Fiyat Listesi,OFFICIAL_PRICE_LIST,https://kia.com.tr/satis-merkezi/fiyat-listesi,TR,46247,46248,A1_OFFICIAL_MARKET,ACTIVE,Official list valid from 13 Aug 2026; EV3 configurations listed.,https://kia.com.tr/satis-merkezi/fiyat-listesi,published-46247,46248,,
SRC-000008,Togg,T10X,OFFICIAL_TECH_SPEC,https://www.togg.com.tr/t10x,TR,,46248,A1_OFFICIAL_MARKET,ACTIVE,Official T10X product/technical highlights.,https://www.togg.com.tr/t10x,,46248,,
SRC-000009,Dacia Türkiye,Yeni Sandero Stepway,OFFICIAL_WEB,https://www.dacia.com.tr/modeller/yeni-sandero-stepway-bi1-ph2.html,TR,,46248,A1_OFFICIAL_MARKET,ACTIVE,"Official model page, Eco-G 120 EDC and equipment context.",https://www.dacia.com.tr/modeller/yeni-sandero-stepway-bi1-ph2.html,,46248,,
SRC-000010,Dacia Türkiye,Ağustos 2026 Satış Kampanyaları,OFFICIAL_WEB,https://www.dacia.com.tr/kampanyalar/satis-kampanyalari.html,TR,,46248,A1_OFFICIAL_MARKET,ACTIVE,Confirms MY2026 Sandero Stepway Expression Eco-G 120 auto.,https://www.dacia.com.tr/kampanyalar/satis-kampanyalari.html,,46248,,
