decision,categoryId,brand,exactModel,originSegment,asin,canonicalAmazonUrl,currentAvailability,volatilePrice,seller,fulfillment,retrievedAt,manufacturerUrl,turkiyeApplicability,categoryIdentity,confidence,blockerOrReason
"CATALOG_CANDIDATE_READY","AIR_FRYER","Xiaomi","Smart Air Fryer Pro 4L EU","IMPORTED_OR_GLOBAL_BRAND","B0BQNDGJRV","https://www.amazon.com.tr/dp/B0BQNDGJRV","ACTIVE_SEARCH_CARD_WITH_PRICE","5.499,00 TL","","","2026-09-05T01:03:56.982Z","https://www.mi.com/tr/product/xiaomi-smart-air-fryer-pro-4l/","PROVEN_BY_EXACT_MANUFACTURER_TURKIYE_SURFACE_AND_AMAZON_TR_IDENTITY","EXACT_CATEGORY_IDENTITY_CONFIRMED","HIGH",""
"CATALOG_CANDIDATE_READY","AIR_FRYER","Philips","HD9243/90","IMPORTED_OR_GLOBAL_BRAND","B0CD2KVVRC","https://www.amazon.com.tr/dp/B0CD2KVVRC","ACTIVE_SEARCH_CARD_WITH_PRICE","6.799,00 TL","","","2026-09-05T01:03:56.982Z","https://www.philips.com.tr/c-p/HD9243_90/3000-serisi-airfryer/destek","PROVEN_BY_EXACT_MANUFACTURER_TURKIYE_SURFACE_AND_AMAZON_TR_IDENTITY","EXACT_CATEGORY_IDENTITY_CONFIRMED","HIGH",""
"CATALOG_CANDIDATE_READY","AIR_FRYER","Vestel","LightFry 15 X","DOMESTIC_TURKIYE_ROOTED_BRAND","B0CL9FR5JN","https://www.amazon.com.tr/dp/B0CL9FR5JN","ACTIVE_SEARCH_CARD_WITH_PRICE","2.597,00 TL","","","2026-09-05T01:03:56.982Z","https://statik.vestel.com.tr/webfiles/20244644_k.pdf","PROVEN_BY_EXACT_MANUFACTURER_TURKIYE_SURFACE_AND_AMAZON_TR_IDENTITY","EXACT_CATEGORY_IDENTITY_CONFIRMED","HIGH",""
"PENDING_EXACT_CONFIGURATION_IDENTITY","AIR_FRYER","","Karaca Air Pro Cook XL 2in1 Rose Gold","","B0BF17GJCZ","https://www.amazon.com.tr/dp/B0BF17GJCZ","ACTIVE_SEARCH_CARD","4.999,00 TL","","","2026-09-05T01:03:56.982Z","","NOT_PROVEN_OR_NOT_APPLICABLE","UNRESOLVED_OR_EXCLUDED","","The bounded manufacturer pass did not establish the exact 2-in-1 Rose Gold configuration identity."
"REJECTED_UNAVAILABLE","AIR_FRYER","","Philips NA322/00 Airfryer","","B0DJR8CNCZ","https://www.amazon.com.tr/dp/B0DJR8CNCZ","UNAVAILABLE_SEARCH_CARD","","","","2026-09-05T01:03:56.982Z","","NOT_PROVEN_OR_NOT_APPLICABLE","UNRESOLVED_OR_EXCLUDED","","The exact listing card exposed no current price/offer."
"CATALOG_CANDIDATE_READY","AIR_PURIFIER","Xiaomi","Smart Air Purifier 4 Lite","IMPORTED_OR_GLOBAL_BRAND","B09QX6JN98","https://www.amazon.com.tr/dp/B09QX6JN98","ACTIVE_SEARCH_CARD_WITH_PRICE","7.399,00 TL","","","2026-09-05T01:03:58.425Z","https://www.mi.com/tr/product/xiaomi-smart-air-purifier-4-lite/","PROVEN_BY_EXACT_MANUFACTURER_TURKIYE_SURFACE_AND_AMAZON_TR_IDENTITY","EXACT_CATEGORY_IDENTITY_CONFIRMED","HIGH",""
"CATALOG_CANDIDATE_READY","AIR_PURIFIER","Bosch","Air 4000","IMPORTED_OR_GLOBAL_BRAND","B0B5D7H7VP","https://www.amazon.com.tr/dp/B0B5D7H7VP","ACTIVE_SEARCH_CARD_WITH_PRICE","8.721,25 TL","","","2026-09-05T01:03:58.425Z","https://www.bosch-homecomfort.com/tr/tr/ocs/residential/air-4000-19297701-p/","PROVEN_BY_EXACT_MANUFACTURER_TURKIYE_SURFACE_AND_AMAZON_TR_IDENTITY","EXACT_CATEGORY_IDENTITY_CONFIRMED","HIGH",""
"CATALOG_CANDIDATE_READY","AIR_PURIFIER","Xiaomi","Smart Air Purifier 4 Compact EU / AC-M18-SC","IMPORTED_OR_GLOBAL_BRAND","B0B6FHKKHP","https://www.amazon.com.tr/dp/B0B6FHKKHP","ACTIVE_SEARCH_CARD_WITH_PRICE","4.999,00 TL","","","2026-09-05T01:03:58.425Z","https://www.mi.com/tr/product/xiaomi-smart-air-purifier-4-compact/specs/","PROVEN_BY_EXACT_MANUFACTURER_TURKIYE_SURFACE_AND_AMAZON_TR_IDENTITY","EXACT_CATEGORY_IDENTITY_CONFIRMED","HIGH",""
"CATALOG_CANDIDATE_READY","AIR_PURIFIER","Philips","AC2220/10","IMPORTED_OR_GLOBAL_BRAND","B0FYHKVT96","https://www.amazon.com.tr/dp/B0FYHKVT96","ACTIVE_SEARCH_CARD_WITH_PRICE","13.591,50 TL","","","2026-09-05T01:03:58.425Z","https://www.philips.com.tr/c-p/AC2220_10/cobra-pureprotect-quiet-2200-series","PROVEN_BY_EXACT_MANUFACTURER_TURKIYE_SURFACE_AND_AMAZON_TR_IDENTITY","EXACT_CATEGORY_IDENTITY_CONFIRMED","HIGH",""
"PENDING_EXACT_MANUFACTURER_TURKIYE_EVIDENCE","AIR_PURIFIER","","Shark NeverChange5 Compact Pro HP072EU","","B0DT7D6X21","https://www.amazon.com.tr/dp/B0DT7D6X21","ACTIVE_SEARCH_CARD","6.585,00 TL","","","2026-09-05T01:03:58.425Z","","NOT_PROVEN_OR_NOT_APPLICABLE","UNRESOLVED_OR_EXCLUDED","","Exact Türkiye manufacturer/support and offer-warranty applicability were not proven in the bounded pass."
