queue_id,subject_id,fact_key,priority,collection_status,preferred_source_type,assigned_method,attempt_count,last_attempt_at,result,notes
QUE-000001,CFG-000001,identity_exact_configuration,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,FOUND,P0 closure pass completed.
QUE-000002,CFG-000001,dimensions_core,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,FOUND,P0 closure pass completed.
QUE-000003,CFG-000001,cargo_volume_l,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,FOUND,P0 closure pass completed.
QUE-000004,CFG-000001,ground_clearance_mm,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,FOUND,P0 closure pass completed.
QUE-000005,CFG-000001,efficiency_or_range_core,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,FOUND,P0 closure pass completed.
QUE-000006,CFG-000001,equipment_mvp_core,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,FOUND,P0 closure pass completed.
QUE-000007,CFG-000002,identity_exact_configuration,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,FOUND,Resolved by selecting exact current Easy 1.6 M.Jet 130 HP 6MT configuration.
QUE-000008,CFG-000002,dimensions_core,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,FOUND,P0 closure pass completed.
QUE-000009,CFG-000002,cargo_volume_l,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,FOUND,P0 closure pass completed.
QUE-000010,CFG-000002,ground_clearance_mm,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,NOT_FOUND,Official Turkey P0 sources searched; no authoritative value found. Kept UNKNOWN.
QUE-000011,CFG-000002,efficiency_or_range_core,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,NOT_FOUND,Official Turkey P0 sources searched; no authoritative value found. Kept UNKNOWN.
QUE-000012,CFG-000002,equipment_mvp_core,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,FOUND,P0 closure pass completed.
QUE-000013,CFG-000003,identity_exact_configuration,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,FOUND,P0 closure pass completed.
QUE-000014,CFG-000003,dimensions_core,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,FOUND,P0 closure pass completed.
QUE-000015,CFG-000003,cargo_volume_l,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,FOUND,P0 closure pass completed.
