Model,Brand,Segment,Propulsion,Pool,Why Included,TR Availability Evidence,Configurations,Identity,Technical,Efficiency/Range,Family/Practicality,Rough-road,Equipment,Provenance
i20,Hyundai,CITY_HATCH,PETROL,MAINSTREAM,Urban footprint and current locally produced mainstream hatch; petrol/DCT coverage.,https://www.hyundai.com/content/dam/hyundai/downloads/tr/tr/brosurler/i20-dijital-brosur.pdf,3,FOUND,FOUND,NOT_FOUND,NOT_FOUND,NOT_APPLICABLE,FOUND,FOUND
Civic,Honda,SEDAN,LPG,MAINSTREAM,Turkey-relevant LPG sedan and family-use benchmark.,https://www.honda.com.tr/otomobil,2,FOUND,FOUND,NOT_FOUND,NOT_FOUND,NOT_APPLICABLE,NOT_FOUND,FOUND
Qashqai,Nissan,C_SUV,MHEV + HEV,MAINSTREAM,High-relevance C-SUV with distinct MHEV and e-POWER architectures.,https://www.nissan.com.tr/content/dam/Nissan/turkey/brochures/NISSAN_QASHQAI_BROSUR_260211_WEB.pdf,2,FOUND,FOUND,FOUND,NOT_FOUND,NOT_APPLICABLE,NOT_FOUND,FOUND
Octavia Combi,Škoda,WAGON,MHEV,MAINSTREAM,"Practical-family wagon coverage, underrepresented in the pilot.",https://www.skoda.com.tr/modeller/octavia,1,FOUND,FOUND,FOUND,NOT_FOUND,NOT_APPLICABLE,NOT_FOUND,FOUND
Jogger,Dacia,FAMILY_MPV,LPG,MAINSTREAM,Seven-seat/practical family role and value-led discovery use case.,https://www.dacia.com.tr/modeller/yeni-jogger/karsilastirma.html,1,PROVISIONAL,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_APPLICABLE,NOT_FOUND,FOUND
Austral,Renault,FAMILY_SUV,HEV,MAINSTREAM,Full-hybrid family SUV and long-range mainstream role.,https://www.renault.com.tr/hybrid-araclar/renault-austral-2025/modeller-versiyonlar.html,1,FOUND,FOUND,FOUND,NOT_FOUND,NOT_APPLICABLE,NOT_FOUND,FOUND
C-HR,Toyota,C_SUV,HEV,MAINSTREAM,Locally produced HEV crossover with exact 2026 trim matrix.,https://www.toyota.com.tr/content/dam/toyota/nmsc/turkey/cars/e-brosur/toyota-c-hr/TOYOTA_CHR_Teknik_Ozellikler-2026-06.pdf,2,FOUND,FOUND,FOUND,FOUND,NOT_APPLICABLE,FOUND,FOUND
Jazz e:HEV,Honda,CITY_HATCH,HEV,MAINSTREAM,Space-efficient HEV hatch with exact current Turkey trim.,https://www.honda.com.tr/otomobil/yeni-bir-honda/honda-model-karsilastirma,1,FOUND,FOUND,NOT_FOUND,NOT_FOUND,NOT_APPLICABLE,NOT_FOUND,FOUND
Crosstrek,Subaru,ROUGH_ROAD,HEV,DISCOVERY,"AWD, 220 mm clearance and rough-road/camping relevance.",https://subaru.com.tr/documents/SUBARU_CROSSTREK_TeknikFoy.pdf,1,FOUND,FOUND,FOUND,FOUND,FOUND,FOUND,FOUND
Formentor,CUPRA,SPORT_CUV,MHEV + PHEV,DISCOVERY,Discovery-oriented CUV; adds both MHEV and long-range PHEV evidence.,https://fs.cupraofficial.com.tr/assets/pdfs/Formentor/CUPRA%20FORMENTOR%20MODEL%20KATALOGU-KASIM%202025.pdf,2,FOUND,FOUND,FOUND,NOT_FOUND,NOT_APPLICABLE,FOUND,FOUND
HS Hybrid+,MG,FAMILY_SUV,HEV,DISCOVERY,New Turkey-market high-power HEV family SUV alternative.,https://www.mg-turkey.com/tr/hs-hybrid.html,1,FOUND,FOUND,FOUND,FOUND,NOT_APPLICABLE,FOUND,FOUND
Elroq,Škoda,BEV_C_SUV,BEV,DISCOVERY,Current Turkey-market BEV with structured battery/range/charging evidence.,https://www.skoda.com.tr/modeller/elroq,1,FOUND,FOUND,FOUND,NOT_FOUND,NOT_APPLICABLE,FOUND,FOUND
Superb Combi,Škoda,LARGE_WAGON,MHEV,MAINSTREAM,Large practical-family wagon alternative.,https://www.skoda.com.tr/arac-karsilastirma,1,FOUND,FOUND,NOT_FOUND,NOT_FOUND,NOT_APPLICABLE,NOT_FOUND,FOUND
Forester e-BOXER,Subaru,ROUGH_ROAD,HEV,DISCOVERY,Family-size AWD rough-road discovery candidate.,https://subaru.com.tr/,1,PROVISIONAL,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,FOUND
Scala,Škoda,C_HATCH,PETROL,MAINSTREAM,Practical C-hatch bridge between city car and family wagon.,https://www.skoda.com.tr/modeller/scala,1,PROVISIONAL,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_APPLICABLE,NOT_FOUND,FOUND
