LIST_NAME,VALUE
BODY_FAMILY,HATCHBACK
BODY_FAMILY,SEDAN
BODY_FAMILY,WAGON
BODY_FAMILY,SUV
BODY_FAMILY,COUPE
BODY_FAMILY,CONVERTIBLE
BODY_FAMILY,MPV
BODY_FAMILY,PICKUP
BODY_FAMILY,VAN
BODY_FAMILY,OTHER
BODY_FAMILY,UNKNOWN
MARKET_RELEVANCE_TR,CURRENT
MARKET_RELEVANCE_TR,RECENT
MARKET_RELEVANCE_TR,HISTORICAL
MARKET_RELEVANCE_TR,CANDIDATE
MARKET_RELEVANCE_TR,NOT_RELEVANT
MARKET_RELEVANCE_TR,UNKNOWN
SOURCE_CATALOG_STATUS,RESMI_KAYNAKTAN_DERLENDI
SOURCE_CATALOG_STATUS,ACIK_VERI_KATALOG_ADAYI
SOURCE_CATALOG_STATUS,OTHER
SOURCE_CATALOG_STATUS,UNKNOWN
IDENTITY_STATUS,VERIFIED
IDENTITY_STATUS,PROVISIONAL
IDENTITY_STATUS,UNRESOLVED
FACELIFT_STATUS,PRE_FACELIFT
FACELIFT_STATUS,FACELIFT
FACELIFT_STATUS,POST_FACELIFT
FACELIFT_STATUS,NOT_APPLICABLE
FACELIFT_STATUS,UNKNOWN
FUEL_TYPE,PETROL
FUEL_TYPE,DIESEL
FUEL_TYPE,LPG
FUEL_TYPE,ELECTRIC
FUEL_TYPE,HYDROGEN
FUEL_TYPE,OTHER
FUEL_TYPE,UNKNOWN
ELECTRIFICATION_TYPE,NONE
ELECTRIFICATION_TYPE,MHEV
ELECTRIFICATION_TYPE,HEV
ELECTRIFICATION_TYPE,PHEV
ELECTRIFICATION_TYPE,BEV
ELECTRIFICATION_TYPE,FCEV
ELECTRIFICATION_TYPE,OTHER
ELECTRIFICATION_TYPE,UNKNOWN
TRANSMISSION_TYPE,MANUAL
TRANSMISSION_TYPE,AUTOMATIC
TRANSMISSION_TYPE,DCT
TRANSMISSION_TYPE,CVT
TRANSMISSION_TYPE,E_CVT
TRANSMISSION_TYPE,SINGLE_SPEED
TRANSMISSION_TYPE,OTHER
TRANSMISSION_TYPE,UNKNOWN
DRIVETRAIN,FWD
DRIVETRAIN,RWD
DRIVETRAIN,AWD
DRIVETRAIN,4WD
DRIVETRAIN,UNKNOWN
MARKET,TR
AVAILABILITY_STATUS,CURRENT
AVAILABILITY_STATUS,ORDERABLE
AVAILABILITY_STATUS,LIMITED
AVAILABILITY_STATUS,DISCONTINUED
AVAILABILITY_STATUS,HISTORICAL
AVAILABILITY_STATUS,UNKNOWN
CONFIGURATION_STATUS,VERIFIED
CONFIGURATION_STATUS,PROVISIONAL
CONFIGURATION_STATUS,UNRESOLVED
