Role,Current models,Coverage,Assessment
city/B hatch,Clio; i20; Jazz e:HEV,3,represented
C hatch,Scala,1,weak
sedan,Egea Sedan; Corolla Sedan; Civic,3,represented
wagon,Octavia Combi; Superb Combi,2,represented
B-SUV,Vitara; Sandero Stepway,2,weak/specialized
C-SUV/crossover,Qashqai; C-HR; Austral; Formentor; HS Hybrid+; Elroq; EV3,7,strong
large family SUV,Forester e-BOXER,1,weak
7-seat family,Jogger,1 provisional,weak
MPV/passenger van,Jogger,1 provisional,weak
commercial/practical van,,0,absent
pickup,,0,absent
real 4x4,,0,absent
rough-road crossover,Crosstrek; Forester; Vitara,3,represented
BEV RWD,T10X; Elroq,2,represented
BEV AWD,,0,absent
performance EV,,0,absent
long-range EV,T10X (conflicting official values),1,weak
