productId,categoryId,brand,model,status,asin,observedAmazonUrl,retrievedAt,confidence,searchResultCount
"NINJA_AF400EU_TR","AIR_FRYER","Ninja","Foodi MAX Dual Zone AF400EU","AMBIGUOUS_OR_FAMILY_ONLY","B0DKY73G2C","https://www.amazon.com.tr/dp/B0DKY73G2C","2026-09-05T00:39:27.147Z","HIGH",11
"PHILIPS_NA350_00_TR","AIR_FRYER","Philips","3000 Series NA350/00","EXACT_ACTIVE_LISTING_CONFIRMED","B0CQMPH7BJ","https://www.amazon.com.tr/dp/B0CQMPH7BJ","2026-09-05T00:39:58.683Z","HIGH",3
"TEFAL_EY855D_TR","AIR_FRYER","Tefal","Easy Fry Mega EY855D","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",1
"DYSON_BP02_TR","AIR_PURIFIER","Dyson","BP02","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",2
"PHILIPS_AC1711_10_TR","AIR_PURIFIER","Philips","AC1711/10","EXACT_LISTING_SEEN_CURRENTLY_UNAVAILABLE","B09QSVG2QS","https://www.amazon.com.tr/dp/B09QSVG2QS","2026-09-05T00:39:59.257Z","HIGH",14
"XIAOMI_AC_M16_SC_TR","AIR_PURIFIER","Xiaomi","AC-M16-SC","AMBIGUOUS_OR_FAMILY_ONLY","B0CVRVJSVG","https://www.amazon.com.tr/dp/B0CVRVJSVG","2026-09-05T00:39:27.147Z","HIGH",1
"BOSCH_MMB6172S_TR","BLENDER","Bosch","VitaPower Serie 4 MMB6172S","EXACT_ACTIVE_LISTING_CONFIRMED","B08DJ1RKNY","https://www.amazon.com.tr/dp/B08DJ1RKNY","2026-09-05T00:39:59.082Z","HIGH",8
"PHILIPS_HR2291_41_TR","BLENDER","Philips","Series 3000 HR2291/41","EXACT_ACTIVE_LISTING_CONFIRMED","B09CTWKTH7","https://www.amazon.com.tr/dp/B09CTWKTH7","2026-09-05T00:39:59.164Z","HIGH",2
"TEFAL_BL811D_TR","BLENDER","Tefal","Perfectmix+ BL811D","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",9
"ARCELIK_MA2030S_TR","BUILT_IN_MICROWAVE_OVEN","Arçelik","MA 2030 S","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",1
"BEKO_BMC2030S_TR","BUILT_IN_MICROWAVE_OVEN","Beko","BMC 2030 S","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",0
"SIEMENS_BE525LMB2_TR","BUILT_IN_MICROWAVE_OVEN","Siemens","BE525LMB2","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",0
