Gap,Current Representation,MVP Importance,Marginal Value of Adding Models,Priority
small mainstream B-SUV diversity,"Bayon; Vitara; Sandero Stepway",Broad urban/family journey,High,HIGH
C-hatch diversity,Scala only,Core mainstream comparison,High,HIGH
small automatic city alternatives,"Clio; i20; Jazz",First-car and urban automatic,High,HIGH
LPG affordability,"Sandero Stepway; Jogger configurations",High-cost-sensitive demand in Türkiye,High,HIGH
diesel long-distance alternatives,"Egea; Berlingo family; Land Cruiser/Ranger utility",High-mileage passenger-car use,Medium,HIGH
mainstream family SUV alternatives,"Qashqai; Austral; C-HR plus discovery-heavy crossovers",Large MVP family demand,High,HIGH
7-seat HEV/AWD family,SANTA FE only,Large-family traction choice,High,HIGH
PHEV AWD family,No exact verified AWD PHEV configuration,Electrified long-trip bridge,High,HIGH
premium non-EV alternative,Formentor only,Premium comparison without BEV constraint,High,HIGH
affordable urban BEV,INSTER only,Entry EV comparison,High,HIGH
family/practical non-SUV,"two wagons; three MPV/passenger vans",Useful but narrow,Medium,MEDIUM
coupe/convertible,Absent,Niche MVP journey,Low,Low,LOW

