Coverage dimension,Final representation,Assessment
Models,55,MVP baseline target reached
Configurations,68,Material powertrain/configuration distinctions retained
A/B city hatch,"Clio; i20; Jazz; INSTER; Polo; Corsa; ë-C3; T03",Strong
C-hatch,"Scala; Golf",Sufficient baseline
Sedan,"Egea; Corolla; Civic; IONIQ 6; Logan; BMW 320i",Strong
Fastback,"Peugeot 408; IONIQ 6",Sufficient baseline
Wagon,"Octavia Combi; Superb Combi",Sufficient baseline
B-SUV,"Vitara; Sandero Stepway; Bayon; Yaris Cross; Captur; T-Roc",Strong
C/D family SUV,"Qashqai; Austral; C-HR; Sportage; Tiggo 7 Pro; Torres; XC60 and others",Strong
Large/7-seat SUV,"SANTA FE; IONIQ 9; X-Trail; Land Cruiser",Strong
MPV/passenger carrying,"Jogger; STARIA; Berlingo",Strong
Commercial van,Citroën Berlingo Van,Sufficient baseline
Pickup,Ford Ranger,Sufficient baseline
Real 4x4,"Land Cruiser; Jimny",Sufficient baseline
PETROL powertrains,35,Strong
DIESEL powertrains,7,Sufficient; passenger-car diversity remains bounded
LPG powertrains,5,Sufficient affordability representation
MHEV powertrains,12,Strong
HEV powertrains,13,Strong
PHEV powertrains,3,Sufficient baseline after XC60 T8 AWD
BEV powertrains,16,Strong across urban/family/long-range/AWD/performance
Mainstream/discovery cumulative,"36 / 19 model families (65.5% / 34.5%); legacy pilot classified for gate analysis only",Discovery spans EV; AWD; premium non-EV; alternative family SUV
Largest brand concentration,"Hyundai 8/55 models (14.5%); 12/68 configurations (17.6%)",Reduced versus 8/38 models baseline; no new Hyundai added
