model_id,brand,model_name,body_family,market_relevance_tr,source_catalog_status,legacy_source_id,notes
MOD-000001,Renault,Clio,HATCHBACK,CURRENT,RESMI_KAYNAKTAN_DERLENDI,PILOT-01,2026 micro-pilot: conventional petrol / compact urban
MOD-000002,Fiat,Egea Sedan,SEDAN,CURRENT,RESMI_KAYNAKTAN_DERLENDI,PILOT-02,2026 micro-pilot: diesel / mainstream sedan
MOD-000003,Toyota,Corolla Sedan,SEDAN,CURRENT,RESMI_KAYNAKTAN_DERLENDI,PILOT-03,2026 micro-pilot: HEV / compact family sedan
MOD-000004,Suzuki,Vitara,SUV,CURRENT,RESMI_KAYNAKTAN_DERLENDI,PILOT-04,2026 micro-pilot: MHEV + AllGrip / compact AWD SUV
MOD-000005,BYD,SEAL U DM-i,SUV,CURRENT,RESMI_KAYNAKTAN_DERLENDI,PILOT-05,2026 micro-pilot: PHEV
MOD-000006,Kia,EV3,SUV,CURRENT,RESMI_KAYNAKTAN_DERLENDI,PILOT-06,2026 micro-pilot: BEV / compact SUV
MOD-000007,Togg,T10X,SUV,CURRENT,RESMI_KAYNAKTAN_DERLENDI,PILOT-07,2026 micro-pilot: BEV / Turkey-local source ecosystem
MOD-000008,Dacia,Sandero Stepway,HATCHBACK,CURRENT,RESMI_KAYNAKTAN_DERLENDI,PILOT-08,2026 micro-pilot: LPG+petrol dual-fuel / compact crossover
MOD-000009,Hyundai,i20,HATCHBACK,CURRENT,RESMI_KAYNAKTAN_DERLENDI,SCALE_BATCH_01,SCALE_BATCH_01 MAINSTREAM: Urban footprint and current locally produced mainstream hatch; petrol/DCT coverage.
MOD-000010,Honda,Civic,SEDAN,CURRENT,RESMI_KAYNAKTAN_DERLENDI,SCALE_BATCH_01,SCALE_BATCH_01 MAINSTREAM: Turkey-relevant LPG sedan and family-use benchmark.
MOD-000011,Nissan,Qashqai,SUV,CURRENT,RESMI_KAYNAKTAN_DERLENDI,SCALE_BATCH_01,SCALE_BATCH_01 MAINSTREAM: High-relevance C-SUV with distinct MHEV and e-POWER architectures.
